Gene,Pattern_1 x Pattern_4,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
SCGB1D2,vsBoth,2207,3,2,605.660850491791,3.03680819902245e-132,2.13285162511344e-129,-15.5022492930326,-3.10070611062725,23.0717084628343,3.34957432098266e-54,0.00193059800114421,8.9076184331569e-118,3.22946332260399e-52,0.0049819606566081,5.66821452963217e-115
SCGB2A2,vsBoth,2207,3,2,530.844630168641,5.35245697414012e-116,2.30155649888025e-113,-15.0384450207929,-3.58065565516285,21.3519911801616,4.11093394976919e-51,0.000342733094743876,3.73673723746256e-101,3.56716950459517e-49,0.00109741274382096,1.50706296894e-98
MT-ND3,vsBoth,2207,3,2,445.917265597846,1.48011712254485e-97,3.62628695023488e-95,-12.9224909005723,-2.17996038284032,19.9598324391757,3.36082380735224e-38,0.0292603983332608,1.23124387902073e-88,1.72159552278231e-36,0.0551848453054681,3.35777795007225e-86
MGP,vsBoth,2207,3,2,368.463009049719,9.7560539245328e-81,1.48956562456454e-78,-15.0639971129219,-6.53183255126214,16.0945417004437,2.79372839253699e-51,6.4969771920965e-11,2.78626963415417e-58,2.44643463364822e-49,6.02464190076694e-10,3.11659495992205e-56
TMSB4X,vsBoth,2207,3,2,345.404041185679,9.91894410603771e-76,1.35709189814425e-73,-3.73181613632859,-12.7669847663419,-16.0526557171662,0.000190104239943415,2.50678435552008e-37,5.47694922318678e-58,0.000646819737497586,1.23548657522061e-35,6.03201696176744e-56
S100A10,vsBoth,2207,3,2,257.89668767161,9.96427767519657e-57,7.60678734117361e-55,-2.71306075477834,-10.6478035052808,-14.1259439829918,0.00666648829224534,1.78527771615901e-26,2.62853811117628e-45,0.014568792814504,5.2111546791247e-25,1.78360636998893e-43
FOS,vsBoth,2207,3,2,246.217213292823,3.42461266657135e-54,2.39722886659994e-52,-2.70481445595561,-10.4447900822673,-13.7762701213223,0.0068342550859723,1.54797471528871e-25,3.54100090538654e-43,0.0148922376064848,4.24988072601076e-24,2.18527070960654e-41
RPS12,vsBoth,2207,3,2,244.078727535425,9.97648929078616e-54,6.82482562846962e-52,-2.37522233531984,-10.1567718189981,-13.8675869545209,0.0175383823156252,3.09143088166406e-24,9.95704671035745e-44,0.0346448384111429,7.86872207079558e-23,6.2663743417821e-42
RPS28,vsBoth,2207,3,2,235.664745701555,6.69962788239105e-52,4.33009691662514e-50,-2.56690599447186,-10.1583153352969,-13.5161671833408,0.0102610425973951,3.04288650386608e-24,1.25548552247604e-41,0.0213860893684784,7.75895414409663e-23,7.23356698915522e-40
RPL23A,vsBoth,2207,3,2,228.600846862878,2.29063991698897e-50,1.40710737757894e-48,-10.8272697980659,-3.6395013196024,13.4647830569022,2.55664798633862e-27,0.000273166537836854,2.52057441620656e-41,7.8720016224523e-26,0.000894059185159255,1.4377818407983e-39
CPB1,vsBoth,2207,3,2,210.091799513802,2.39411710223583e-46,1.24246422029825e-44,-9.27388988124959,-2.01043808091444,13.522637828251,1.79478216378085e-20,0.0443848434605487,1.14977882249592e-41,3.62437145697213e-19,0.0804761598488451,6.63788640769569e-40
ANXA2,vsBoth,2207,3,2,204.228256640055,4.49156352381192e-45,2.20086612666784e-43,-3.86334756908766,-10.5346108502149,-11.7969762912136,0.000111843694712499,5.98302194386969e-26,4.04589489751446e-32,0.000401988728265648,1.69459775828594e-24,1.59578788416428e-30
CCN2,vsBoth,2207,3,2,202.546295537951,1.04143161844188e-44,5.00980917821243e-43,-2.49423038327476,-9.50435050764473,-12.4749726020893,0.0126230584335772,2.01300237526088e-21,1.02241362820309e-35,0.0257084835167484,4.29845809213984e-20,4.67680738715585e-34
TMSB10,vsBoth,2207,3,2,199.241893377417,5.43466240163693e-44,2.56745149781368e-42,-3.39056725704252,-10.1029426530683,-11.8946700414557,0.000697481380497791,5.36089470272955e-24,1.26150605156452e-32,0.00206028258000353,1.34539193525557e-22,5.08777827979577e-31
RPL36,vsBoth,2207,3,2,186.371338149694,3.38827091910352e-41,1.43067872275573e-39,-3.06290947705838,-9.61457368895319,-11.6222873417987,0.00219196356322582,6.93962174161767e-22,3.17519653777777e-31,0.00557156346231819,1.52506576033171e-20,1.2106758037186e-29
RPL38,vsBoth,2207,3,2,181.07021167986,4.79847365993728e-40,1.95181158329881e-38,-8.79570136084713,-2.10780549355951,12.4640228171799,1.42157214336351e-18,0.0350478174790901,1.17300828121204e-35,2.50194949755464e-17,0.0649870008103182,5.33160192579472e-34
ACTA2,vsBoth,2207,3,2,176.766276223701,4.12753557138141e-39,1.61050323127789e-37,-2.2604377621577,-8.82615190367896,-11.6879313958149,0.0237940950621497,1.08338856703281e-18,1.46921567410272e-31,0.0456420091174074,1.92449327648787e-17,5.70067626394732e-30
ZFP36,vsBoth,2207,3,2,170.873865904082,7.85618077398817e-38,2.93492427141721e-36,-2.36607417787117,-8.78636542565082,-11.4212206264709,0.0179778419837316,1.54476538940932e-18,3.27600141317565e-30,0.0354322737424568,2.70712098688714e-17,1.16676990629707e-28
GIMAP4,vsBoth,2207,3,2,165.762660754783,1.01180207168122e-36,3.5950539039331e-35,-3.41855913917237,-9.44722026896545,-10.6643023063883,0.000629536355571469,3.47948024717721e-21,1.49516972288222e-26,0.00188466006709765,7.33688636803529e-20,4.38669928429634e-25
GBP2,vsBoth,2207,3,2,156.983648789574,8.15518450024952e-35,2.67231317916419e-33,-3.81980552827583,-9.53529204034208,-10.0811835994757,0.00013355693286779,1.4946428827798e-21,6.69151485810409e-24,0.000471450045940477,3.21555965051837e-20,1.67346312630402e-22
PCED1B,vsBoth,2207,3,2,154.238808756575,3.21712718742402e-34,1.02394063200943e-32,-8.47838899512858,-2.42241520524797,11.3121882574962,2.28333449516474e-17,0.0154177234552981,1.14205183264481e-29,3.68149117505869e-16,0.0308257583537537,3.95915910747992e-28
RPL27A,vsBoth,2207,3,2,153.409118418906,4.87116901455353e-34,1.53416339516656e-32,-3.10825392658029,-8.96044123417545,-10.3627132869842,0.00188196294548717,3.23381758156708e-19,3.66417704237556e-25,0.0048694324517959,5.9665184567122e-18,9.82431737906592e-24
EEF1A1,vsBoth,2207,3,2,152.562305783992,7.43902855534159e-34,2.32897966806905e-32,-5.38430476797549,-10.4345064429089,-8.80660745428192,7.2725190763056e-08,1.72507887823458e-25,1.289904428805e-18,4.5758862612615e-07,4.71351466395488e-24,2.27861895859539e-17
RPL34,vsBoth,2207,3,2,152.011026194602,9.79997725246443e-34,3.05904475125075e-32,-2.85466565959719,-8.74743723260345,-10.4484259603113,0.00430821566244924,2.1825269689484e-18,1.48977173323492e-25,0.010006608161122,3.78767634883863e-17,4.09401281969116e-24
RPS25,vsBoth,2207,3,2,151.426262021165,1.31281942620598e-33,4.07380048750515e-32,-5.7243602299503,-10.6058377887713,-8.48621465533089,1.03824242632264e-08,2.79943648766157e-26,2.13476954463501e-17,7.34075848833306e-08,8.04837990202702e-25,3.45167283515661e-16
RPS19,vsBoth,2207,3,2,145.54054575422,2.49041683155976e-32,7.38018039957301e-31,-2.22288358914162,-8.13843113603656,-10.521163776355,0.0262236506465888,4.00432697945206e-16,6.9015793006482e-26,0.0498946336388752,5.90746538158731e-15,1.94514491411478e-24
AC087379.2,vsBoth,2207,3,2,140.181952038556,3.6297430604891e-31,1.02655954744303e-29,-9.17118121316589,-3.84754755301336,10.0306949792838,4.67863838388632e-20,0.000119306125049887,1.11727396260995e-23,9.151148232417e-19,0.000426029541190114,2.76518063261331e-22
S100A9,vsBoth,2207,3,2,140.022055386979,3.93185053588602e-31,1.10754132073688e-29,-2.21644850380968,-8.00973998801641,-10.3017355269437,0.0266608009696104,1.14951214744806e-15,6.9201377179496e-25,0.0506523378294051,1.62469300800471e-14,1.82130646648425e-23
CCL2,vsBoth,2207,3,2,136.231125929995,2.61689846570888e-30,7.13299491235267e-29,-2.72521310127846,-8.2974598354607,-9.87880633369491,0.00642599968189154,1.06361041241588e-16,5.14420099144261e-23,0.0141121635778023,1.63832620546147e-15,1.22041586901375e-21
IGLC1,vsBoth,2207,3,2,131.473858110488,2.82367334408663e-29,7.29102908822368e-28,-4.30303821752906,-9.25834431337198,-8.69045693366997,1.6847177589413e-05,2.076266665426e-20,3.60984638037203e-18,7.13004626474786e-05,4.17806717951325e-19,6.17490747323495e-17
RPL21,vsBoth,2207,3,2,122.443274040452,2.58095759420028e-27,6.0692830926116e-26,-5.78595718563683,-9.88826404029729,-7.08257502478984,7.21005778676222e-09,4.68074004287262e-23,1.41500108573434e-12,5.20226488416138e-08,1.11230698031251e-21,1.53247186422098e-11
PNRC1,vsBoth,2207,3,2,121.749124337742,3.65185530783376e-27,8.48341690584975e-26,-3.26567561944968,-8.33011042118763,-8.93882507796703,0.00109203266199451,8.07669872479519e-17,3.93329885589921e-19,0.00304393607283294,1.25217253916898e-15,7.19680592579385e-18
B2M,vsBoth,2207,3,2,120.740042600099,6.04829377005994e-27,1.39123962592973e-25,-4.94987609700379,-9.37692597404092,-7.7083735579611,7.42607427970764e-07,6.79241610061863e-21,1.27431286610395e-14,4.03578737899845e-06,1.40840575699648e-19,1.65712756225643e-13
EIF1AX,vsBoth,2207,3,2,114.673738482528,1.25578149452844e-25,2.6672697671083e-24,-7.58818860282277,-2.46645972976819,9.58810179004981,3.24408493347785e-14,0.0136456071227021,8.97204120531205e-22,4.0940666403763e-13,0.0275947711835151,1.9581890237356e-20
YBX1,vsBoth,2207,3,2,113.560117681886,2.19146108594925e-25,4.60359771495022e-24,-4.77474136395436,-9.07881684963791,-7.49614505027691,1.7993835671301e-06,1.0976145804012e-19,6.57220604056829e-14,9.16169069074863e-06,2.08977350464018e-18,8.06665752128903e-13
EMP1,vsBoth,2207,3,2,111.087787148597,7.54385821352181e-25,1.54469477705447e-23,-3.54152994558714,-8.2416470788382,-8.27008922899249,0.00039781369997624,1.69855964362219e-16,1.3385879341182e-16,0.00125345458833843,2.57617878152125e-15,2.04429149298532e-15
ARHGDIB,vsBoth,2207,3,2,109.95842366208,1.32688010495132e-24,2.68047591671374e-23,-3.22402926483673,-7.99879448542749,-8.42024756114974,0.0012640048154093,1.25643221232142e-15,3.75689591944785e-17,0.00344089532172691,1.76969682242124e-14,5.95344298026504e-16
ERP27,vsBoth,2207,3,2,105.341432581995,1.33474578148574e-23,2.53133155858727e-22,-7.55332612732572,-2.75674046367711,9.00191052619653,4.24280806623268e-14,0.00583806692013815,2.2182330555955e-19,5.30768060185989e-13,0.0129681984530413,4.15700939443567e-18
RPL26,vsBoth,2207,3,2,104.853176706355,1.70381317904419e-23,3.19958499843681e-22,-8.87414939429784,-4.8489451574286,7.68185131000871,7.04699148598135e-19,1.2411972770982e-06,1.56805779341414e-14,1.26673321532377e-17,6.51185123299871e-06,2.02440644339107e-13
SMIM34B,vsBoth,2207,3,2,99.7881539863908,2.14426117539954e-22,3.79660361056035e-21,-6.82921063040476,-1.96142601815998,9.09344293647023,8.53831349949837e-12,0.0498293473690578,9.59514209329616e-20,8.61503196117463e-11,0.0894753472071845,1.83538339239503e-18
RPL13A,vsBoth,2207,3,2,99.7019933226311,2.23865532562405e-22,3.95376929680627e-21,-4.79366888923494,-8.6902656460237,-6.76275983280921,1.63758473407858e-06,3.61592984137804e-18,1.35387568549364e-11,8.39460058366275e-06,6.18162095569315e-17,1.34099724158112e-10
GNAS,vsBoth,2207,3,2,98.8800431857217,3.37653640891276e-22,5.89913948057976e-21,-6.93631612938788,-2.13955295789981,8.97117450659694,4.0245646606149e-12,0.0323909117853504,2.9336924330794e-19,4.19371939798791e-11,0.060495288218987,5.43729985897919e-18
PDE5A,vsBoth,2207,3,2,95.7611295762184,1.60596073256139e-21,2.69407584674113e-20,-7.19274756001532,-2.61570851439493,8.58913262317851,6.35002856343123e-13,0.00890425351169546,8.76283238348769e-18,7.09730944238303e-12,0.0188460584201486,1.45145446562564e-16
