Gene,Pattern_1 x Pattern_4,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
S100G,vsBoth,2209,3,2,450.527151925137,1.47663101365802e-98,7.55343965804368e-98,-13.1498214950937,-2.4010505174188,19.9916530665482,1.7057666163639e-39,0.0163480794340336,6.51029187904081e-89,1.21627982813212e-38,0.0412641049687662,7.86796359564621e-88
SCGB1D2,vsBoth,2209,3,2,384.268299881651,3.60743816440327e-84,1.59783813243874e-83,-13.2152529744826,-3.60665711694727,17.9440287775615,7.16450417877441e-40,0.00031016708279964,5.34366423956596e-72,5.13321750365083e-39,0.00101425432640083,5.43389382398761e-71
AL161729.4,vsBoth,2209,3,2,316.718127574072,1.68086346653277e-69,6.41341516661765e-69,-11.0546274353864,-2.05012840799264,16.7494143045322,2.0819944381929e-28,0.0403519018902247,5.71865218123084e-63,1.28539481142553e-27,0.0949546338680557,5.30941113451151e-62
SCGB2A2,vsBoth,2209,3,2,309.51500598113,6.16127251320233e-68,2.3133958048066e-67,-12.7154486392853,-4.4037805971366,15.5861932044517,4.85316096852888e-37,1.06380533290717e-05,9.03602252929068e-55,3.35016577094343e-36,3.88355393495867e-05,7.67516538788766e-54
CRLF1,vsBoth,2209,3,2,226.547076654027,6.39627840933902e-50,2.00473453234612e-49,-9.99204996598419,-2.56410666210897,13.8604682417113,1.6513085772808e-23,0.0103441750653946,1.0995463746401e-43,9.440739800708e-23,0.0270572655488956,8.24706045203409e-43
MGP,vsBoth,2209,3,2,195.847059561103,2.96723106971099e-43,8.54348185375912e-43,-11.8097668792492,-6.08344195589747,10.8905286474916,3.47523493933887e-32,1.1762951475929e-09,1.27895695383668e-27,2.25025564942443e-31,5.02724461783529e-09,7.79797742301651e-27
FOXJ1,vsBoth,2209,3,2,177.626217637082,2.68507808164948e-39,7.36122453649004e-39,-9.17646390484632,-2.70892743807834,12.0921677015436,4.4547980987005e-20,0.00675011008044208,1.16180297811999e-33,2.40106523606436e-19,0.0183072515915347,7.66764157273856e-33
AC137630.3,vsBoth,2209,3,2,164.157131957453,2.25804042608457e-36,5.95339855188649e-36,-9.41635724361759,-3.42741293383385,11.2432884819364,4.67009286594652e-21,0.000609361675244049,2.49896593951293e-29,2.56019709159496e-20,0.00192756676142797,1.56066449273937e-28
WSCD1,vsBoth,2209,3,2,153.64504841529,4.32914019993364e-34,1.10965618543512e-33,-9.5531381184496,-3.9599163411759,10.5383175536165,1.2582597682367e-21,7.49760241598617e-05,5.75186705069926e-26,6.97008658439634e-21,0.000258598376009099,3.42118058210761e-25
VSTM2L,vsBoth,2209,3,2,140.355594649088,3.32789695111557e-31,8.22681579276011e-31,-8.52335264920732,-2.91063269072838,10.5219190482413,1.54999936917351e-17,0.00360697773262734,6.84646940210047e-26,7.97717893029168e-17,0.0102575886830867,4.06726828133225e-25
AL121772.3,vsBoth,2209,3,2,135.316921662691,4.13336546819434e-30,1.00677481932366e-29,-7.86452484671584,-2.17007204304173,10.636006680119,3.70501046288359e-15,0.0300013887017037,2.02628575849891e-26,1.81743303553558e-14,0.0721636425578964,1.21209966211414e-25
TPD52,vsBoth,2209,3,2,115.905351324482,6.78379551374838e-26,1.55046692118149e-25,-7.69412025196233,-2.5735274289248,9.59525647820209,1.42471015856528e-14,0.0100667667144187,8.37086486616313e-22,6.89258638137817e-14,0.0263871458853878,4.65436796956407e-21
