Gene,Pattern_6 x Pattern_7,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
MSLN,vsBoth,431,3,2,61.3040388550526,4.87525238499298e-14,1.0644504176084e-10,-2.29848456139031,-7.64062703196994,-3.60732573741693,0.0215342255833059,2.16166400817427e-14,0.000309369179699719,0.0394355378041471,1.94290361054704e-11,0.00144823447246931
HLA-A,vsBoth,431,3,2,53.467378581419,2.45304920753297e-12,2.85649403386522e-09,-2.63491697848542,-7.23056550739493,-2.90206344122034,0.00841578646085455,4.80986908915874e-13,0.00370713456964441,0.017587265868301,3.40704077981201e-10,0.00881474219893228
HLA-DRA,vsBoth,431,3,2,50.2637342088564,1.21721920691708e-11,1.11900883616951e-08,-2.96933137354383,-7.06348915167275,-2.39510851905437,0.00298448563887865,1.62372883194184e-12,0.0166154468304967,0.00733312108317148,9.12129671343327e-10,0.0315195517333273
ACTG1,vsBoth,431,3,2,47.5896261913411,4.63493848582896e-11,3.11378732815286e-08,-2.79850326223728,-6.8637534846023,-2.42404530180502,0.00513400508267539,6.70743397776008e-12,0.0153486906876396,0.0115418803609521,2.15308630686099e-09,0.029427054586285
FTH1,vsBoth,431,3,2,47.0410739202493,6.09762324209783e-11,3.67266155757665e-08,-2.34502636221972,-6.76070025303857,-2.84553122236139,0.0190257343258447,1.37326375600698e-11,0.00443374126109216,0.035445430333507,3.85715457468459e-09,0.0102128309725003
TMSB10,vsBoth,431,3,2,45.0515475702721,1.64884846588627e-10,8.47071651577516e-08,-1.99076030083959,-6.55459408497998,-3.07346119356964,0.0465072457642503,5.5793429848965e-11,0.00211591205264882,0.0779998830239429,1.09015510322282e-08,0.00552522298931074
PKM,vsBoth,431,3,2,44.9329256200389,1.74960162632498e-10,8.73151188771953e-08,-3.62132618961235,-6.69394289841685,-1.37137325798191,0.000293096689069993,2.17236213849346e-11,0.170258629397316,0.00139383758802174,4.8812977251948e-09,0.24610559038647
ACTB,vsBoth,431,3,2,42.6254844239486,5.54617620350367e-10,2.42187649366496e-07,-3.16286914953242,-6.52831592588616,-1.74791121426458,0.00156222532200358,6.65132880127387e-11,0.0804794026867292,0.00432838507835025,1.24546131803853e-08,0.126282973349917
TUBB,vsBoth,431,3,2,41.8218832761001,8.28883386756705e-10,3.48778700524138e-07,-2.92535924754645,-6.45930100023142,-1.95652976703918,0.00344058779725998,1.05187707045596e-10,0.0504027793945592,0.00824730972292623,1.81812905947272e-08,0.0837685246298628
BCL2L1,vsBoth,431,3,2,41.0140067082906,1.24142818978758e-09,4.51750545646242e-07,-2.18058912546942,-6.31112749566117,-2.66576570295598,0.0292138201758752,2.77009863783298e-10,0.00768132055994736,0.0514044275138541,4.14960775947381e-08,0.0162906345428992
